"RSN","eq_lat","eq_long","R_rup","sta_code","sta_lat","sta_long","eq_id_new","Plong2","Plat2","dP2PV","lnWS_nlme3"
"usgs_12",56.8439,-153.3705,62.26,"SII",56.5593,-154.1842,"ak0102g1co4s",-153.3705,56.8439,0.205045920316357,0.182511853625057
"usgs_15",56.8439,-153.3705,46.98,"OHAK",57.2225,-153.28751,"ak0102g1co4s",-153.3705,56.8439,0.0942126601327475,0.277264116665431
"usgs_21",56.8439,-153.3705,116.07,"KDAK",57.7828,-152.5835,"ak0102g1co4s",-153.3705,56.8439,0.00439835578178591,-0.177613243465541
"usgs_29",56.2289,-152.5458,121.74,"OHAK",57.2225,-153.28751,"ak0106xzshsx",-152.5458,56.2289,-0.14466783026334,-0.535475526295899
"usgs_31",56.2289,-152.5458,174.3,"KDAK",57.7828,-152.5835,"ak0106xzshsx",-152.5458,56.2289,-0.0297200286995405,0.0575089053246289
"usgs_32",61.8953,-147.7258,303.27,"BAL",61.036,-142.3462,"ak010835axjw",-147.7258,61.8953,0.153307524463086,0.0953415227195351
"usgs_33",61.8953,-147.7258,198.03,"BMR",60.9677,-144.6051,"ak010835axjw",-147.7258,61.8953,0.0749148835861171,-0.133024432621277
"usgs_34",61.8953,-147.7258,297.09,"BPAW",64.0997,-150.9873,"ak010835axjw",-147.7258,61.8953,-0.0561423372706255,-0.21484082980333
"usgs_36",61.8953,-147.7258,295.99,"BRLK",59.7511,-150.9063,"ak010835axjw",-147.7258,61.8953,-0.0294450257559254,-0.487642402417334
"usgs_38",61.8953,-147.7258,267.31,"BWN",64.1732,-149.2991,"ak010835axjw",-147.7258,61.8953,0.206583143970586,0.125162108633878
"usgs_39",61.8953,-147.7258,307.54,"CCB",64.6453,-147.8053,"ak010835axjw",-147.7258,61.8953,0.0609309384284129,0.141250647555298
"usgs_40",61.8953,-147.7258,322.56,"CHUM",63.8827,-152.3152,"ak010835axjw",-147.7258,61.8953,0.238872368796599,0.12816405555022
"usgs_41",61.8953,-147.7258,279.98,"CRQ",60.7523,-143.0926,"ak010835axjw",-147.7258,61.8953,0.0111236232739888,-0.0318180573234598
"usgs_43",61.8953,-147.7258,356.76,"CTG",60.9649,-141.3401,"ak010835axjw",-147.7258,61.8953,0.101173666560666,0.161860014661767
"usgs_47",61.8953,-147.7258,137.77,"DIV",61.1292,-145.7749,"ak010835axjw",-147.7258,61.8953,0.194350181154516,0.250957020166474
"usgs_49",61.8953,-147.7258,186,"EYAK",60.5487,-145.75,"ak010835axjw",-147.7258,61.8953,0.378665604041832,0.480079593166234
"usgs_51",61.8953,-147.7258,329.29,"HOM",59.6572,-151.6515,"ak010835axjw",-147.7258,61.8953,0.145112100808513,0.140517471943367
"usgs_52",61.8953,-147.7258,329.29,"HOM",59.6572,-151.6515,"ak010835axjw",-147.7258,61.8953,0.191061167230626,-0.0487066042701583
"usgs_53",61.8953,-147.7258,215.59,"MCK",63.7318,-148.9373,"ak010835axjw",-147.7258,61.8953,0.13825787350172,0.11475121129189
"usgs_55",61.8953,-147.7258,343.33,"MDM",64.9602,-148.2319,"ak010835axjw",-147.7258,61.8953,0.139319247217273,0.126441024319805
"usgs_57",61.8953,-147.7258,380.97,"MLY",65.0304,-150.7442,"ak010835axjw",-147.7258,61.8953,0.325318356023035,0.228565899564551
"usgs_58",61.8953,-147.7258,169.52,"PAX",62.9699,-145.4699,"ak010835axjw",-147.7258,61.8953,-0.116395245209465,-0.197370770915288
"usgs_60",61.8953,-147.7258,236.48,"RAG",60.3863,-144.6773,"ak010835axjw",-147.7258,61.8953,0.355568529192049,0.367661082797056
"usgs_62",61.8953,-147.7258,143.07,"RC01",61.0889,-149.739,"ak010835axjw",-147.7258,61.8953,0.325717293936393,0.339220675897125
"usgs_63",61.8953,-147.7258,253.91,"RIDG",63.7399,-144.8462,"ak010835axjw",-147.7258,61.8953,0.0150127792190012,-0.0868728857863599
"usgs_65",61.8953,-147.7258,180.38,"RND",63.4056,-148.8602,"ak010835axjw",-147.7258,61.8953,0.0273228889382816,-0.10911270002227
"usgs_67",61.8953,-147.7258,39,"SCM",61.832,-147.329,"ak010835axjw",-147.7258,61.8953,-0.264290592712952,-0.357186464494739
"usgs_68",61.8953,-147.7258,202,"SKN",61.98,-151.5317,"ak010835axjw",-147.7258,61.8953,0.377333191145445,0.363282466476764
"usgs_70",61.8953,-147.7258,169.45,"SSN",61.4636,-150.7467,"ak010835axjw",-147.7258,61.8953,0.0316737850402608,0.0712458037143277
"usgs_71",61.8953,-147.7258,222.04,"SWD",60.1043,-149.4526,"ak010835axjw",-147.7258,61.8953,0.270694065952213,0.194716508212482
"usgs_73",61.8953,-147.7258,219.16,"TRF",63.4502,-150.2893,"ak010835axjw",-147.7258,61.8953,0.137404827152681,0.0590368865747888
"usgs_74",61.8953,-147.7258,288.86,"WRH",64.4716,-148.0918,"ak010835axjw",-147.7258,61.8953,0.0445224914058255,0.0301595872790631
"usgs_75",61.8953,-147.7258,286.31,"MID",59.4278,-146.33881,"ak010835axjw",-147.7258,61.8953,0.174361334168112,0.274192301549709
"usgs_76",61.8953,-147.7258,87.39,"PMR",61.5922,-149.1308,"ak010835axjw",-147.7258,61.8953,-0.49878524307733,-0.723828281135922
"usgs_77",61.8953,-147.7258,317.65,"RDWB",60.48681,-152.84363,"ak010835axjw",-147.7258,61.8953,0.142617376781684,0.195197650918393
"usgs_78",61.8953,-147.7258,258.04,"SPBG",61.2591,-152.3722,"ak010835axjw",-147.7258,61.8953,0.00317655430859607,-0.298943772934669
"usgs_79",61.8953,-147.7258,239.27,"SPCG",61.2913,-152.0228,"ak010835axjw",-147.7258,61.8953,0.052286726771346,0.445954614557816
"usgs_80",61.8953,-147.7258,486.55,"DAWY",64.0647,-139.3937,"ak010835axjw",-147.7258,61.8953,-0.0620093470776623,-0.143288200634529
