"RSN","eq_lat","eq_long","R_rup","sta_code","sta_lat","sta_long","eq_id_new","Plong2","Plat2","dP2PV","lnWS_nlme3"
"usgs_171",56.2744,-154.2322,433.2,"BRLK",59.7511,-150.9063,"ak0116pliito",-154.2322,56.2744,-0.00356488385380741,0.111295176011055
"usgs_172",56.2744,-154.2322,405.54,"HOM",59.6572,-151.6515,"ak0116pliito",-154.2322,56.2744,0.0341046922482703,0.277537392134593
"usgs_173",56.2744,-154.2322,405.54,"HOM",59.6572,-151.6515,"ak0116pliito",-154.2322,56.2744,0.0235849295419068,0.323118307342083
"usgs_174",56.2744,-154.2322,119.9,"OHAK",57.2225,-153.28751,"ak0116pliito",-154.2322,56.2744,-0.117311360647064,-0.10320520073995
"usgs_175",56.2744,-154.2322,403.72,"SDPT",55.3493,-160.47659,"ak0116pliito",-154.2322,56.2744,-0.134768243481639,-0.795898010101477
"usgs_176",56.2744,-154.2322,348.42,"AUL",59.38218,-153.43765,"ak0116pliito",-154.2322,56.2744,0.056048670195684,0.237482393214689
"usgs_177",56.2744,-154.2322,230.35,"KABU",58.2702,-155.2843,"ak0116pliito",-154.2322,56.2744,-0.088235803658808,-0.0365636565170293
"usgs_178",56.2744,-154.2322,229.89,"KAKN",58.2963,-155.0632,"ak0116pliito",-154.2322,56.2744,-0.025470588381472,0.235692009811889
"usgs_179",56.2744,-154.2322,486.92,"RDJH",60.5905,-152.8058,"ak0116pliito",-154.2322,56.2744,0.00359217555116385,0.171765501288503
"usgs_180",56.2744,-154.2322,194.82,"KDAK",57.7828,-152.5835,"ak0116pliito",-154.2322,56.2744,-0.00500594189780356,0.340898590293486
"usgs_276",56.7625,-152.9538,352.92,"BRLK",59.7511,-150.9063,"ak0127zvz6bf",-152.9538,56.7625,0.00993436784205342,-0.0700331121198891
"usgs_277",56.7625,-152.9538,322.94,"CNP",59.5251,-151.2373,"ak0127zvz6bf",-152.9538,56.7625,0.0208069344687504,-0.144168587189047
"usgs_278",56.7625,-152.9538,322.94,"CNP",59.5251,-151.2373,"ak0127zvz6bf",-152.9538,56.7625,0.0240427196514295,-0.174986965764146
"usgs_279",56.7625,-152.9538,330.44,"HOM",59.6572,-151.6515,"ak0127zvz6bf",-152.9538,56.7625,0.13363066573352,0.0221640862691838
"usgs_280",56.7625,-152.9538,330.44,"HOM",59.6572,-151.6515,"ak0127zvz6bf",-152.9538,56.7625,0.15781182549897,0.0290690983028913
"usgs_281",56.7625,-152.9538,338.86,"CHGN",56.3014,-158.41415,"ak0127zvz6bf",-152.9538,56.7625,-0.148550321970183,-0.158535600114522
"usgs_282",56.7625,-152.9538,493.06,"SDPT",55.3493,-160.47659,"ak0127zvz6bf",-152.9538,56.7625,0.00705563392839107,0.141570055926
"usgs_283",56.7625,-152.9538,425.48,"RDJH",60.5905,-152.8058,"ak0127zvz6bf",-152.9538,56.7625,0.016541800487913,0.0435577705637533
"usgs_284",56.7625,-152.9538,115.48,"KDAK",57.7828,-152.5835,"ak0127zvz6bf",-152.9538,56.7625,0.00380839838024456,0.116053840380033
"usgs_285",56.3954,-153.3559,399.67,"BRLK",59.7511,-150.9063,"ak0129adli78",-153.3559,56.3954,0.0398562519331852,0.290890083560013
"usgs_286",56.3954,-153.3559,369.44,"CNP",59.5251,-151.2373,"ak0129adli78",-153.3559,56.3954,0.163363535265501,0.224902123218837
"usgs_287",56.3954,-153.3559,369.44,"CNP",59.5251,-151.2373,"ak0129adli78",-153.3559,56.3954,0.175624416545537,0.199483324537001
"usgs_288",56.3954,-153.3559,375.99,"HOM",59.6572,-151.6515,"ak0129adli78",-153.3559,56.3954,0.206391966215417,0.228084750722503
"usgs_289",56.3954,-153.3559,375.99,"HOM",59.6572,-151.6515,"ak0129adli78",-153.3559,56.3954,0.237914028554502,0.245744878765826
"usgs_290",56.3954,-153.3559,55.69,"SII",56.5593,-154.1842,"ak0129adli78",-153.3559,56.3954,0.0474026194127896,0.064626221265326
"usgs_291",56.3954,-153.3559,55.69,"SII",56.5593,-154.1842,"ak0129adli78",-153.3559,56.3954,0.0806890926607521,0.021431281599509
"usgs_292",56.3954,-153.3559,238.17,"KABU",58.2702,-155.2843,"ak0129adli78",-153.3559,56.3954,0.00102230977261035,-0.280063502041108
"usgs_293",56.3954,-153.3559,234.6,"KAKN",58.2963,-155.0632,"ak0129adli78",-153.3559,56.3954,-0.0290145996729032,-0.472354402376913
"usgs_294",56.3954,-153.3559,467.33,"RDJH",60.5905,-152.8058,"ak0129adli78",-153.3559,56.3954,0.0267025763106707,0.182157764212252
"usgs_295",56.3954,-153.3559,161.03,"KDAK",57.7828,-152.5835,"ak0129adli78",-153.3559,56.3954,0.00397780143112622,0.0990807190400535
"usgs_306",60.352,-147.5409,292.51,"BAL",61.036,-142.3462,"ak012a7f38y5",-147.5409,60.352,-0.117452929419376,-0.0988768447810397
"usgs_307",60.352,-147.5409,292.51,"BAL",61.036,-142.3462,"ak012a7f38y5",-147.5409,60.352,-0.185178089368872,-0.168126261063991
"usgs_308",60.352,-147.5409,173.34,"BMR",60.9677,-144.6051,"ak012a7f38y5",-147.5409,60.352,0.035638203950466,0.0977058233309969
"usgs_309",60.352,-147.5409,453.12,"BPAW",64.0997,-150.9873,"ak012a7f38y5",-147.5409,60.352,0.169246457075939,0.250198164766682
"usgs_310",60.352,-147.5409,453.12,"BPAW",64.0997,-150.9873,"ak012a7f38y5",-147.5409,60.352,0.121107809117503,0.192552189253665
"usgs_311",60.352,-147.5409,197.84,"BRLK",59.7511,-150.9063,"ak012a7f38y5",-147.5409,60.352,0.00926979507655722,0.0632686522381484
"usgs_312",60.352,-147.5409,197.84,"BRLK",59.7511,-150.9063,"ak012a7f38y5",-147.5409,60.352,-0.427276872997533,-0.525752093495509
"usgs_313",60.352,-147.5409,434.28,"BWN",64.1732,-149.2991,"ak012a7f38y5",-147.5409,60.352,0.193826912041991,0.255025366204972
"usgs_314",60.352,-147.5409,415.58,"CAST",63.4188,-152.0844,"ak012a7f38y5",-147.5409,60.352,-0.119699794401094,-0.206382325250337
"usgs_315",60.352,-147.5409,415.58,"CAST",63.4188,-152.0844,"ak012a7f38y5",-147.5409,60.352,-0.14772587212483,-0.272739625933325
"usgs_316",60.352,-147.5409,477.46,"CCB",64.6453,-147.8053,"ak012a7f38y5",-147.5409,60.352,-0.0253302851002439,0.157453568715041
"usgs_317",60.352,-147.5409,464.25,"CHUM",63.8827,-152.3152,"ak012a7f38y5",-147.5409,60.352,0.0157937983394589,-0.034054344629177
"usgs_318",60.352,-147.5409,224.98,"CNP",59.5251,-151.2373,"ak012a7f38y5",-147.5409,60.352,0.0427415452106777,0.0530417862010121
"usgs_319",60.352,-147.5409,224.98,"CNP",59.5251,-151.2373,"ak012a7f38y5",-147.5409,60.352,0.0465153452235328,0.0217678228762335
"usgs_320",60.352,-147.5409,344.54,"CTG",60.9649,-141.3401,"ak012a7f38y5",-147.5409,60.352,-0.0209072148407195,-0.0288660809493774
"usgs_321",60.352,-147.5409,344.54,"CTG",60.9649,-141.3401,"ak012a7f38y5",-147.5409,60.352,-0.138881019063284,-0.15485914857633
"usgs_322",60.352,-147.5409,302.38,"DHY",63.0753,-147.3759,"ak012a7f38y5",-147.5409,60.352,-0.0630841070708354,0.00103619987162763
"usgs_323",60.352,-147.5409,302.38,"DHY",63.0753,-147.3759,"ak012a7f38y5",-147.5409,60.352,-0.226398457884248,-0.218051932407948
"usgs_324",60.352,-147.5409,128.3,"DIV",61.1292,-145.7749,"ak012a7f38y5",-147.5409,60.352,0.00436533186199219,0.145529503557425
"usgs_325",60.352,-147.5409,128.3,"DIV",61.1292,-145.7749,"ak012a7f38y5",-147.5409,60.352,-0.00764334305700581,0.0497477007692264
"usgs_326",60.352,-147.5409,408.64,"DOT",63.6487,-144.0674,"ak012a7f38y5",-147.5409,60.352,-0.160331922502948,-0.122135429795386
"usgs_327",60.352,-147.5409,99.76,"EYAK",60.5487,-145.75,"ak012a7f38y5",-147.5409,60.352,-0.125245794561162,-0.161659167587351
"usgs_328",60.352,-147.5409,168.69,"FIB",61.1656,-150.1775,"ak012a7f38y5",-147.5409,60.352,0.0188085306404945,-0.137001435826142
"usgs_329",60.352,-147.5409,168.69,"FIB",61.1656,-150.1775,"ak012a7f38y5",-147.5409,60.352,0.0205873254548292,-0.124858263500692
"usgs_330",60.352,-147.5409,65.32,"FID",60.7277,-146.5987,"ak012a7f38y5",-147.5409,60.352,0.155361049381698,0.156509783912131
"usgs_331",60.352,-147.5409,173.68,"GHO",61.771,-148.926,"ak012a7f38y5",-147.5409,60.352,0.066762039082743,0.0914222011714094
"usgs_332",60.352,-147.5409,173.68,"GHO",61.771,-148.926,"ak012a7f38y5",-147.5409,60.352,0.0704579014649029,0.106103322478679
"usgs_333",60.352,-147.5409,62.39,"GLI",60.8792,-147.0959,"ak012a7f38y5",-147.5409,60.352,-0.244920618765522,-0.374080325831359
"usgs_334",60.352,-147.5409,62.39,"GLI",60.8792,-147.0959,"ak012a7f38y5",-147.5409,60.352,-0.233152420075319,-0.275849074793584
"usgs_335",60.352,-147.5409,452.02,"HDA",64.4095,-146.9477,"ak012a7f38y5",-147.5409,60.352,-0.0166380915141412,0.00655066598634403
"usgs_336",60.352,-147.5409,56.24,"HIN",60.396,-146.5035,"ak012a7f38y5",-147.5409,60.352,0.0652536862991203,0.0314896262248198
"usgs_337",60.352,-147.5409,56.24,"HIN",60.396,-146.5035,"ak012a7f38y5",-147.5409,60.352,0.0706759781525913,0.0605927094131452
"usgs_338",60.352,-147.5409,240.77,"HOM",59.6572,-151.6515,"ak012a7f38y5",-147.5409,60.352,0.107599559045916,0.0814084543912888
"usgs_339",60.352,-147.5409,240.77,"HOM",59.6572,-151.6515,"ak012a7f38y5",-147.5409,60.352,0.134965714899395,0.108210731908824
"usgs_340",60.352,-147.5409,178.58,"KAI",59.9268,-144.4188,"ak012a7f38y5",-147.5409,60.352,-0.00475675125210809,0.0906773566006023
"usgs_341",60.352,-147.5409,178.58,"KAI",59.9268,-144.4188,"ak012a7f38y5",-147.5409,60.352,-0.0322198505794548,-0.00460160624574164
"usgs_342",60.352,-147.5409,153.2,"KLU",61.4924,-145.9227,"ak012a7f38y5",-147.5409,60.352,0.0376910641334355,0.0915867069078637
"usgs_343",60.352,-147.5409,127.08,"KNK",61.4131,-148.4585,"ak012a7f38y5",-147.5409,60.352,-0.243695282837798,-0.339041835330905
"usgs_344",60.352,-147.5409,127.08,"KNK",61.4131,-148.4585,"ak012a7f38y5",-147.5409,60.352,-0.594182594207905,-0.720763505302089
"usgs_345",60.352,-147.5409,397.07,"KTH",63.5527,-150.9233,"ak012a7f38y5",-147.5409,60.352,-0.0258064642285421,0.0247849350901827
"usgs_346",60.352,-147.5409,397.07,"KTH",63.5527,-150.9233,"ak012a7f38y5",-147.5409,60.352,-0.040228661972274,0.00677171208968481
"usgs_347",60.352,-147.5409,382.43,"MCK",63.7318,-148.9373,"ak012a7f38y5",-147.5409,60.352,-0.0228663672058405,0.0144804854663129
"usgs_348",60.352,-147.5409,382.43,"MCK",63.7318,-148.9373,"ak012a7f38y5",-147.5409,60.352,-0.0374320204683997,-0.00469663948310621
"usgs_349",60.352,-147.5409,477.86,"NEA",64.5922,-149.0706,"ak012a7f38y5",-147.5409,60.352,0.228891159174451,0.348825642885398
"usgs_350",60.352,-147.5409,310.42,"PAX",62.9699,-145.4699,"ak012a7f38y5",-147.5409,60.352,-0.35122880220459,-0.389292587983023
"usgs_351",60.352,-147.5409,310.42,"PAX",62.9699,-145.4699,"ak012a7f38y5",-147.5409,60.352,-0.356763640010174,-0.346675614613284
"usgs_352",60.352,-147.5409,458.88,"PNL",59.667,-139.4014,"ak012a7f38y5",-147.5409,60.352,-0.0491606478679283,-0.0666522187380331
"usgs_353",60.352,-147.5409,374.32,"PPLA",62.8962,-152.1894,"ak012a7f38y5",-147.5409,60.352,0.0513281764585646,0.000734963548288295
