"RSN","eq_lat","eq_long","R_rup","sta_code","sta_lat","sta_long","eq_id_new","Plong2","Plat2","dP2PV","lnWS_nlme3"
"usgs_5",58.6042,-153.4744,179.12,"HOM",59.6572,-151.6515,"ak01015mkx4p",-153.4744,58.6042,0.300267784722728,0.156565073166379
"usgs_10",58.6042,-153.4744,399.9,"SKN",61.98,-151.5317,"ak01015mkx4p",-153.4744,58.6042,-0.0657736974575717,-0.0746704963647677
"usgs_22",58.6042,-153.4744,136.39,"KDAK",57.7828,-152.5835,"ak01015mkx4p",-153.4744,58.6042,-0.0679795952932748,0.0156954399412026
"usgs_106",63.2139,-150.6591,134.34,"TRF",63.4502,-150.2893,"ak01031ipwd1",-150.6591,63.2139,-0.0334756567537367,-0.139844383549921
"usgs_124",61.5969,-146.7367,140.31,"BMR",60.9677,-144.6051,"ak0104ljdsz2",-146.7367,61.5969,0.289854355236443,0.497122052413157
"usgs_127",61.5969,-146.7367,344.08,"CAST",63.4188,-152.0844,"ak0104ljdsz2",-146.7367,61.5969,-0.148886755329421,-0.300188610182561
"usgs_131",61.5969,-146.7367,339.88,"CNP",59.5251,-151.2373,"ak0104ljdsz2",-146.7367,61.5969,-0.125751263006469,-0.88586531038242
"usgs_133",61.5969,-146.7367,251.02,"DDM",63.7865,-145.8657,"ak0104ljdsz2",-146.7367,61.5969,-0.451931780444321,-0.547083336430849
"usgs_136",61.5969,-146.7367,84.29,"DIV",61.1292,-145.7749,"ak0104ljdsz2",-146.7367,61.5969,0.0442516764818544,0.527469242567972
"usgs_138",61.5969,-146.7367,269.29,"DOT",63.6482,-144.0697,"ak0104ljdsz2",-146.7367,61.5969,-0.112985046706716,-0.230960814413536
"usgs_140",61.5969,-146.7367,134.88,"EYAK",60.5487,-145.75,"ak0104ljdsz2",-146.7367,61.5969,0.0520979281315574,0.149553695363809
"usgs_141",61.5969,-146.7367,194.31,"FIB",61.1656,-150.1775,"ak0104ljdsz2",-146.7367,61.5969,-0.247570585216342,-0.423938585052379
"usgs_145",61.5969,-146.7367,61.31,"KLU",61.4924,-145.9227,"ak0104ljdsz2",-146.7367,61.5969,0.183896803662518,0.112513916409098
"usgs_151",61.5969,-146.7367,171.3,"PAX",62.9699,-145.4699,"ak0104ljdsz2",-146.7367,61.5969,-0.0107917404361743,-0.134007377585108
"usgs_157",61.5969,-146.7367,175.03,"RC01",61.0889,-149.739,"ak0104ljdsz2",-146.7367,61.5969,-0.022139628274622,-0.113535814647456
"usgs_160",61.5969,-146.7367,58.69,"SCM",61.832,-147.329,"ak0104ljdsz2",-146.7367,61.5969,-0.320172384919196,-0.336185199277438
"usgs_163",61.5969,-146.7367,259.36,"SKN",61.98,-151.5317,"ak0104ljdsz2",-146.7367,61.5969,-0.205608564055267,-0.629486000271889
"usgs_168",61.5969,-146.7367,278.51,"TRF",63.4502,-150.2893,"ak0104ljdsz2",-146.7367,61.5969,-0.0303484006970623,-0.626762978359935
"usgs_180",61.5969,-146.7367,268.06,"BARK",60.403,-142.4931,"ak0104ljdsz2",-146.7367,61.5969,0.287225064058089,0.10676507483807
"usgs_181",61.5969,-146.7367,280.81,"BARN",61.0595,-141.66209,"ak0104ljdsz2",-146.7367,61.5969,0.207942166282021,0.182176668180949
"usgs_182",61.5969,-146.7367,215.71,"BERG",60.3923,-143.7038,"ak0104ljdsz2",-146.7367,61.5969,0.457718918240348,0.411921286072038
"usgs_183",61.5969,-146.7367,252.41,"BGLC",60.1205,-143.2841,"ak0104ljdsz2",-146.7367,61.5969,0.206706816595355,0.132732075900305
"usgs_184",61.5969,-146.7367,161.78,"GOAT",60.5805,-144.7292,"ak0104ljdsz2",-146.7367,61.5969,-0.0747637403378739,-0.220089288964387
"usgs_185",61.5969,-146.7367,287.41,"GRNC",60.7315,-141.7558,"ak0104ljdsz2",-146.7367,61.5969,0.241200808833483,0.257095721090926
"usgs_186",61.5969,-146.7367,264.46,"ISLE",60.602,-142.34109,"ak0104ljdsz2",-146.7367,61.5969,0.120044165976122,0.264745973245821
"usgs_187",61.5969,-146.7367,231.48,"KHIT",60.4427,-143.25101,"ak0104ljdsz2",-146.7367,61.5969,0.39911251179079,0.560415331083103
"usgs_188",61.5969,-146.7367,249.45,"KIAG",60.9231,-142.3607,"ak0104ljdsz2",-146.7367,61.5969,0.318729418221651,0.444639054197231
