"RSN","eq_lat","eq_long","R_rup","sta_code","sta_lat","sta_long","eq_id_new","Plong2","Plat2","dP2PV","lnWS_nlme3"
"usgs_1",58.6042,-153.4744,213.21,"BRLK",59.7511,-150.9063,"ak01015mkx4p",-153.4744,58.6042,-0.170631643429487,0.0183112633281291
"usgs_2",58.6042,-153.4744,493.94,"EYAK",60.5487,-145.75,"ak01015mkx4p",-153.4744,58.6042,-0.133094385608406,-0.297985803577416
"usgs_3",58.6042,-153.4744,350.2,"FIB",61.1656,-150.1775,"ak01015mkx4p",-153.4744,58.6042,-0.00902912247818058,0.183141339386816
"usgs_4",58.6042,-153.4744,179.12,"HOM",59.6572,-151.6515,"ak01015mkx4p",-153.4744,58.6042,-0.0321524320337114,0.359286069614428
"usgs_5",58.6042,-153.4744,179.12,"HOM",59.6572,-151.6515,"ak01015mkx4p",-153.4744,58.6042,0.0245820964716967,0.347451744024918
"usgs_6",58.6042,-153.4744,490.41,"PPLA",62.8962,-152.1894,"ak01015mkx4p",-153.4744,58.6042,-0.0781852920194148,0.0816353028113907
"usgs_7",58.6042,-153.4744,490.41,"PPLA",62.8962,-152.1894,"ak01015mkx4p",-153.4744,58.6042,-0.0676371936536172,0.0655399056020961
"usgs_8",58.6042,-153.4744,357.12,"RC01",61.0889,-149.739,"ak01015mkx4p",-153.4744,58.6042,-0.221178819034795,0.0296435581628984
"usgs_9",58.6042,-153.4744,247.04,"SII",56.5593,-154.1842,"ak01015mkx4p",-153.4744,58.6042,-0.00635155989070348,0.0319055188871026
"usgs_10",58.6042,-153.4744,399.9,"SKN",61.98,-151.5317,"ak01015mkx4p",-153.4744,58.6042,-0.058966545797225,-0.293942550905603
"usgs_11",58.6042,-153.4744,362.82,"SSN",61.4636,-150.7467,"ak01015mkx4p",-153.4744,58.6042,-0.0373376172332718,0.0294151708340765
"usgs_12",58.6042,-153.4744,362.82,"SSN",61.4636,-150.7467,"ak01015mkx4p",-153.4744,58.6042,0.0937432549349043,0.222884634501643
"usgs_13",58.6042,-153.4744,295.95,"SWD",60.1043,-149.4526,"ak01015mkx4p",-153.4744,58.6042,-0.0595238646948601,-0.0907728593897797
"usgs_14",58.6042,-153.4744,428.1,"MID",59.4278,-146.33881,"ak01015mkx4p",-153.4744,58.6042,-0.308998605408226,-0.277845929728432
"usgs_15",58.6042,-153.4744,176.87,"OHAK",57.2225,-153.28751,"ak01015mkx4p",-153.4744,58.6042,-0.11918388279007,0.447351562614358
"usgs_16",58.6042,-153.4744,419.59,"PMR",61.5922,-149.1308,"ak01015mkx4p",-153.4744,58.6042,-0.20327284551877,0.192497271431563
"usgs_17",58.6042,-153.4744,141.89,"KABU",58.2702,-155.2843,"ak01015mkx4p",-153.4744,58.6042,-0.0615274602948726,-0.785457837018034
"usgs_18",58.6042,-153.4744,131.79,"KAKN",58.2963,-155.0632,"ak01015mkx4p",-153.4744,58.6042,-0.198586860467022,-0.683168969492247
"usgs_19",58.6042,-153.4744,229.76,"RDWB",60.48681,-152.84363,"ak01015mkx4p",-153.4744,58.6042,-0.222712664485065,-0.142607324658203
"usgs_20",58.6042,-153.4744,314.08,"SPBG",61.2591,-152.3722,"ak01015mkx4p",-153.4744,58.6042,-0.175420693094524,-0.061141440529313
"usgs_21",58.6042,-153.4744,321.78,"SPCG",61.2913,-152.0228,"ak01015mkx4p",-153.4744,58.6042,-0.361200083472685,-0.0576306339188361
"usgs_22",58.6042,-153.4744,136.39,"KDAK",57.7828,-152.5835,"ak01015mkx4p",-153.4744,58.6042,-0.0105626303816985,0.370750725098994
"usgs_23",58.6042,-153.4744,463.67,"BBB",61.1216,-147.0481,"ak01015mkx4p",-153.4744,58.6042,-0.257934314340906,-0.197228546498899
"usgs_744",56.7391,-156.1674,458.2,"BRLK",59.7511,-150.9063,"ak010gqb24bq",-156.1674,56.7391,-0.480004989174003,-0.618218416714021
"usgs_745",56.7391,-156.1674,120.54,"CHI",55.8218,-155.6225,"ak010gqb24bq",-156.1674,56.7391,0.0529989724801966,0.279141774633013
"usgs_746",56.7391,-156.1674,120.54,"CHI",55.8218,-155.6225,"ak010gqb24bq",-156.1674,56.7391,0.0573715074908097,0.322660016896004
"usgs_747",56.7391,-156.1674,427.44,"CNP",59.5251,-151.2373,"ak010gqb24bq",-156.1674,56.7391,-0.434215776768099,-0.539850049490041
"usgs_749",56.7391,-156.1674,502.42,"FALS",54.8564,-163.4176,"ak010gqb24bq",-156.1674,56.7391,0.294941093322205,0.612555838911056
"usgs_750",56.7391,-156.1674,134.94,"SII",56.5593,-154.1842,"ak010gqb24bq",-156.1674,56.7391,-0.0315614342288081,0.0451299473058715
"usgs_751",56.7391,-156.1674,190.85,"OHAK",57.2225,-153.28751,"ak010gqb24bq",-156.1674,56.7391,-0.212161824747077,-0.103639161233382
"usgs_752",56.7391,-156.1674,314,"SDPT",55.3493,-160.47659,"ak010gqb24bq",-156.1674,56.7391,-0.09546151020799,0.442285741537834
"usgs_753",56.7391,-156.1674,489.84,"SVW2",61.1082,-155.6217,"ak010gqb24bq",-156.1674,56.7391,-0.36016567989444,0.0446762463604056
"usgs_754",56.7391,-156.1674,186.39,"KABU",58.2702,-155.2843,"ak010gqb24bq",-156.1674,56.7391,-0.0418106476657192,-0.0856589702413757
"usgs_755",56.7391,-156.1674,193.19,"KAKN",58.2963,-155.0632,"ak010gqb24bq",-156.1674,56.7391,-0.116273427898759,-0.263137364291202
"usgs_756",56.7391,-156.1674,250.75,"KDAK",57.7828,-152.5835,"ak010gqb24bq",-156.1674,56.7391,-0.0161005537181025,-0.132472615775871
"usgs_857",58.2956,-154.1328,352.36,"SPBG",61.2591,-152.3722,"ak0111vymjwx",-154.1328,58.2956,-0.0198591846957991,0.0704859631247231
